hour,avg_solar,avg_wind
1,3650.093567251462,5613.507101086048
2,3387.624895572264,5791.411027568923
3,2908.3525480367584,5923.018379281537
4,2207.843776106934,6001.312447786132
5,1454.0976627712855,6040.11101836394
6,836.2282608695652,6043.7851170568565
7,466.10869565217394,6065.883779264214
8,336.3074352548037,6067.897243107769
9,297.56093489148583,6043.343906510851
10,268.87061769616025,5961.474958263773
11,248.3603002502085,5850.444537114262
12,227.0183486238532,5729.155963302752
13,205.21953255425709,5599.2829716193655
14,183.68504594820385,5478.767752715121
15,161.6677796327212,5391.3706176961605
16,127.13856427378965,5340.441569282137
17,126.91819699499165,5290.176961602671
18,327.11352253756263,5154.126043405676
19,1016.7065217391304,4980.476588628762
20,2070.2573099415204,4874.1570593149545
21,2954.5446950710107,4894.9682539682535
22,3484.0567612687814,5008.571786310517
23,3715.7234753550542,5179.074352548037
24,3755.663043478261,5399.096989966555
